,regiao,estado,coduf,populacaoTCU2019,FIM_MES,ano,casosNovos,obitosNovos
0,Centro-Oeste,DF,53,3015268.0,2020-02-29,2020,0,0
1,Centro-Oeste,DF,53,3015268.0,2020-03-31,2020,332,3
2,Centro-Oeste,DF,53,3015268.0,2020-04-30,2020,1024,27
3,Centro-Oeste,DF,53,3015268.0,2020-05-31,2020,8424,140
4,Centro-Oeste,DF,53,3015268.0,2020-06-30,2020,39438,417
5,Centro-Oeste,DF,53,3015268.0,2020-07-31,2020,57074,882
6,Centro-Oeste,DF,53,3015268.0,2020-08-31,2020,55750,1052
7,Centro-Oeste,DF,53,3015268.0,2020-09-30,2020,30203,734
8,Centro-Oeste,DF,53,3015268.0,2020-10-31,2020,21000,428
9,Centro-Oeste,DF,53,3015268.0,2020-11-30,2020,15901,247
10,Centro-Oeste,DF,53,3015268.0,2020-12-31,2020,22555,329
11,Centro-Oeste,GO,52,7018354.0,2020-02-29,2020,0,0
12,Centro-Oeste,GO,52,7018354.0,2020-03-31,2020,65,1
13,Centro-Oeste,GO,52,7018354.0,2020-04-30,2020,716,28
14,Centro-Oeste,GO,52,7018354.0,2020-05-31,2020,2921,95
15,Centro-Oeste,GO,52,7018354.0,2020-06-30,2020,20679,350
16,Centro-Oeste,GO,52,7018354.0,2020-07-31,2020,43560,1182
17,Centro-Oeste,GO,52,7018354.0,2020-08-31,2020,64565,1438
18,Centro-Oeste,GO,52,7018354.0,2020-09-30,2020,76905,1578
19,Centro-Oeste,GO,52,7018354.0,2020-10-31,2020,46036,1081
20,Centro-Oeste,GO,52,7018354.0,2020-11-30,2020,23966,598
21,Centro-Oeste,GO,52,7018354.0,2020-12-31,2020,29455,454
22,Centro-Oeste,MS,50,2778986.0,2020-02-29,2020,0,0
23,Centro-Oeste,MS,50,2778986.0,2020-03-31,2020,48,1
24,Centro-Oeste,MS,50,2778986.0,2020-04-30,2020,207,8
25,Centro-Oeste,MS,50,2778986.0,2020-05-31,2020,1234,11
26,Centro-Oeste,MS,50,2778986.0,2020-06-30,2020,6476,56
27,Centro-Oeste,MS,50,2778986.0,2020-07-31,2020,16971,300
28,Centro-Oeste,MS,50,2778986.0,2020-08-31,2020,24001,486
29,Centro-Oeste,MS,50,2778986.0,2020-09-30,2020,20769,441
30,Centro-Oeste,MS,50,2778986.0,2020-10-31,2020,12638,289
31,Centro-Oeste,MS,50,2778986.0,2020-11-30,2020,16717,177
32,Centro-Oeste,MS,50,2778986.0,2020-12-31,2020,34700,560
33,Centro-Oeste,MT,51,3484466.0,2020-02-29,2020,0,0
34,Centro-Oeste,MT,51,3484466.0,2020-03-31,2020,25,0
35,Centro-Oeste,MT,51,3484466.0,2020-04-30,2020,272,11
36,Centro-Oeste,MT,51,3484466.0,2020-05-31,2020,2132,50
37,Centro-Oeste,MT,51,3484466.0,2020-06-30,2020,13207,532
38,Centro-Oeste,MT,51,3484466.0,2020-07-31,2020,36229,1226
39,Centro-Oeste,MT,51,3484466.0,2020-08-31,2020,39481,932
40,Centro-Oeste,MT,51,3484466.0,2020-09-30,2020,32070,655
41,Centro-Oeste,MT,51,3484466.0,2020-10-31,2020,19486,392
42,Centro-Oeste,MT,51,3484466.0,2020-11-30,2020,15231,287
43,Centro-Oeste,MT,51,3484466.0,2020-12-31,2020,21294,370
44,Nordeste,AL,27,3337357.0,2020-02-29,2020,0,0
45,Nordeste,AL,27,3337357.0,2020-03-31,2020,18,1
46,Nordeste,AL,27,3337357.0,2020-04-30,2020,1026,46
47,Nordeste,AL,27,3337357.0,2020-05-31,2020,9244,396
48,Nordeste,AL,27,3337357.0,2020-06-30,2020,25674,609
49,Nordeste,AL,27,3337357.0,2020-07-31,2020,23763,515
50,Nordeste,AL,27,3337357.0,2020-08-31,2020,19079,320
51,Nordeste,AL,27,3337357.0,2020-09-30,2020,8075,185
52,Nordeste,AL,27,3337357.0,2020-10-31,2020,3910,166
53,Nordeste,AL,27,3337357.0,2020-11-30,2020,4195,101
54,Nordeste,AL,27,3337357.0,2020-12-31,2020,9834,150
55,Nordeste,BA,29,14873064.0,2020-02-29,2020,0,0
56,Nordeste,BA,29,14873064.0,2020-03-31,2020,213,2
57,Nordeste,BA,29,14873064.0,2020-04-30,2020,2638,102
58,Nordeste,BA,29,14873064.0,2020-05-31,2020,15541,563
59,Nordeste,BA,29,14873064.0,2020-06-30,2020,54915,1186
60,Nordeste,BA,29,14873064.0,2020-07-31,2020,92847,1610
61,Nordeste,BA,29,14873064.0,2020-08-31,2020,90573,1934
62,Nordeste,BA,29,14873064.0,2020-09-30,2020,53799,1347
63,Nordeste,BA,29,14873064.0,2020-10-31,2020,42631,878
64,Nordeste,BA,29,14873064.0,2020-11-30,2020,49914,646
65,Nordeste,BA,29,14873064.0,2020-12-31,2020,90329,861
66,Nordeste,CE,23,9132078.0,2020-02-29,2020,0,0
