,DTSOLIC,ANO,ESTADO_UF,QTD
0,29/02/2020,2020,AL,11
1,29/02/2020,2020,AM,1
2,29/02/2020,2020,BA,61
3,29/02/2020,2020,CE,39
4,29/02/2020,2020,DF,3
5,29/02/2020,2020,ES,17
6,29/02/2020,2020,GO,18
7,29/02/2020,2020,MA,8
8,29/02/2020,2020,MG,112
9,29/02/2020,2020,MS,36
10,29/02/2020,2020,MT,3
11,29/02/2020,2020,PA,15
12,29/02/2020,2020,PB,19
13,29/02/2020,2020,PE,28
14,29/02/2020,2020,PI,8
15,29/02/2020,2020,PR,56
16,29/02/2020,2020,RJ,75
17,29/02/2020,2020,RN,13
18,29/02/2020,2020,RO,3
19,29/02/2020,2020,RS,81
20,29/02/2020,2020,SC,35
21,29/02/2020,2020,SP,258
22,29/02/2020,2020,TO,2
23,30/04/2019,2019,MG,1
24,30/04/2019,2019,PR,8
25,30/04/2019,2019,RJ,1
26,30/04/2019,2019,RS,4
27,30/04/2019,2019,SP,2
28,30/04/2019,2019,TO,1
29,30/04/2020,2020,AL,12
30,30/04/2020,2020,AM,8
31,30/04/2020,2020,BA,43
32,30/04/2020,2020,CE,51
33,30/04/2020,2020,DF,4
34,30/04/2020,2020,ES,23
35,30/04/2020,2020,GO,17
36,30/04/2020,2020,MA,21
37,30/04/2020,2020,MG,135
38,30/04/2020,2020,MS,11
39,30/04/2020,2020,MT,4
40,30/04/2020,2020,PA,17
41,30/04/2020,2020,PB,21
42,30/04/2020,2020,PE,16
43,30/04/2020,2020,PI,16
44,30/04/2020,2020,PR,44
45,30/04/2020,2020,RJ,75
46,30/04/2020,2020,RN,17
47,30/04/2020,2020,RO,6
48,30/04/2020,2020,RS,79
49,30/04/2020,2020,SC,29
50,30/04/2020,2020,SP,199
51,30/04/2020,2020,TO,2
52,30/06/2019,2019,AL,10
53,30/06/2019,2019,AM,4
54,30/06/2019,2019,BA,52
55,30/06/2019,2019,CE,30
56,30/06/2019,2019,ES,14
57,30/06/2019,2019,GO,24
58,30/06/2019,2019,MA,6
59,30/06/2019,2019,MG,109
60,30/06/2019,2019,MS,2
61,30/06/2019,2019,PA,10
62,30/06/2019,2019,PB,20
63,30/06/2019,2019,PE,29
64,30/06/2019,2019,PI,7
65,30/06/2019,2019,PR,47
66,30/06/2019,2019,RJ,69
67,30/06/2019,2019,RN,6
68,30/06/2019,2019,RO,10
69,30/06/2019,2019,RS,66
70,30/06/2019,2019,SC,40
71,30/06/2019,2019,SP,224
72,30/06/2019,2019,TO,3
73,30/06/2020,2020,AL,7
74,30/06/2020,2020,AM,10
75,30/06/2020,2020,BA,56
76,30/06/2020,2020,CE,49
77,30/06/2020,2020,DF,12
78,30/06/2020,2020,ES,26
79,30/06/2020,2020,GO,25
80,30/06/2020,2020,MA,11
81,30/06/2020,2020,MG,139
82,30/06/2020,2020,MS,17
83,30/06/2020,2020,MT,6
84,30/06/2020,2020,PA,9
85,30/06/2020,2020,PB,12
86,30/06/2020,2020,PE,44
87,30/06/2020,2020,PI,25
88,30/06/2020,2020,PR,86
89,30/06/2020,2020,RJ,106
90,30/06/2020,2020,RN,36
91,30/06/2020,2020,RO,6
92,30/06/2020,2020,RS,92
93,30/06/2020,2020,SC,45
94,30/06/2020,2020,SE,13
95,30/06/2020,2020,SP,273
96,30/06/2020,2020,TO,5
97,30/09/2019,2019,AL,15
98,30/09/2019,2019,AM,8
99,30/09/2019,2019,BA,51
100,30/09/2019,2019,CE,50
101,30/09/2019,2019,DF,2
102,30/09/2019,2019,ES,10
103,30/09/2019,2019,GO,19
104,30/09/2019,2019,MA,11
105,30/09/2019,2019,MG,134
106,30/09/2019,2019,MS,4
107,30/09/2019,2019,MT,4
108,30/09/2019,2019,PA,29
109,30/09/2019,2019,PB,18
110,30/09/2019,2019,PE,45
111,30/09/2019,2019,PI,8
112,30/09/2019,2019,PR,62
113,30/09/2019,2019,RJ,84
114,30/09/2019,2019,RN,23
115,30/09/2019,2019,RO,4
116,30/09/2019,2019,RS,74
117,30/09/2019,2019,SC,43
118,30/09/2019,2019,SP,245
119,30/09/2019,2019,TO,3
120,30/09/2020,2020,AL,9
121,30/09/2020,2020,AM,8
122,30/09/2020,2020,BA,58
123,30/09/2020,2020,CE,41
124,30/09/2020,2020,DF,1
125,30/09/2020,2020,ES,16
126,30/09/2020,2020,GO,21
127,30/09/2020,2020,MA,12
128,30/09/2020,2020,MG,136
129,30/09/2020,2020,MS,4
130,30/09/2020,2020,MT,6
131,30/09/2020,2020,PA,10
132,30/09/2020,2020,PB,13
133,30/09/2020,2020,PE,20
134,30/09/2020,2020,PI,10
135,30/09/2020,2020,PR,68
136,30/09/2020,2020,RJ,111
137,30/09/2020,2020,RN,19
138,30/09/2020,2020,RO,7
139,30/09/2020,2020,RS,73
140,30/09/2020,2020,SC,67
141,30/09/2020,2020,SE,8
142,30/09/2020,2020,SP,243
143,30/09/2020,2020,TO,1
144,30/11/2019,2019,AL,8
145,30/11/2019,2019,AM,9
146,30/11/2019,2019,BA,40
147,30/11/2019,2019,CE,43
148,30/11/2019,2019,DF,1
149,30/11/2019,2019,ES,15
150,30/11/2019,2019,GO,12
151,30/11/2019,2019,MA,15
152,30/11/2019,2019,MG,111
153,30/11/2019,2019,MS,8
154,30/11/2019,2019,MT,1
155,30/11/2019,2019,PA,15
156,30/11/2019,2019,PB,18
157,30/11/2019,2019,PE,32
158,30/11/2019,2019,PI,16
159,30/11/2019,2019,PR,67
160,30/11/2019,2019,RJ,101
161,30/11/2019,2019,RN,14
162,30/11/2019,2019,RO,4
163,30/11/2019,2019,RS,90
164,30/11/2019,2019,SC,40
165,30/11/2019,2019,SP,269
166,30/11/2019,2019,TO,2
167,30/11/2020,2020,AL,10
168,30/11/2020,2020,AM,5
169,30/11/2020,2020,BA,54
170,30/11/2020,2020,CE,39
171,30/11/2020,2020,DF,8
172,30/11/2020,2020,ES,24
173,30/11/2020,2020,GO,19
174,30/11/2020,2020,MA,12
175,30/11/2020,2020,MG,101
176,30/11/2020,2020,MT,4
177,30/11/2020,2020,PA,3
178,30/11/2020,2020,PB,18
179,30/11/2020,2020,PE,27
180,30/11/2020,2020,PI,13
181,30/11/2020,2020,PR,56
182,30/11/2020,2020,RJ,86
183,30/11/2020,2020,RN,11
184,30/11/2020,2020,RO,9
185,30/11/2020,2020,RS,70
186,30/11/2020,2020,SC,30
187,30/11/2020,2020,SE,6
188,30/11/2020,2020,SP,159
189,30/11/2020,2020,TO,2
190,31/01/2019,2019,PE,3
191,31/01/2019,2019,SP,1
192,31/01/2020,2020,AL,8
193,31/01/2020,2020,AM,17
194,31/01/2020,2020,BA,49
195,31/01/2020,2020,CE,45
196,31/01/2020,2020,DF,3
197,31/01/2020,2020,ES,26
198,31/01/2020,2020,GO,23
199,31/01/2020,2020,MA,11
200,31/01/2020,2020,MG,132
